Days of airfrost,Precipitation,Sunshine hours,Humidity (%),Wind Speed,Aircraft total movements,Weather and flight condition category,Runway surface minimal temperature,Runway surface maximal temperature
9,44.6,61.4,70.0,3.9,1339,3,3.1,8.9
2,58.8,42.2,61.0,4.0,1288,2,5.2,10.7
0,82.6,115.4,58.9,4.2,1270,0,5.7,12.7
9,65.4,96.5,63.0,4.3,1292,2,2.2,8.4
0,63.8,139.7,60.3,3.4,1301,1,12.6,21.2
0,34.6,241.1,57.7,2.7,1313,1,13.9,23.5
0,29.8,193.9,57.2,2.8,1332,0,9.4,19.1
0,26.8,249.3,58.3,2.4,1406,1,14.7,26.0
5,56.5,44.5,65.6,4.4,1363,3,2.1,6.9
0,106.2,188.8,59.1,4.0,1364,1,10.9,19.8
17,88.6,46.2,72.3,4.9,1287,3,0.2,6.8
0,97.6,183.6,58.9,3.8,1271,1,12.7,21.7
11,41.2,65.1,67.6,4.0,1337,3,1.7,7.3
0,56.7,148.9,57.7,3.2,1297,1,12.8,22.0
0,72.4,116.3,63.5,3.8,1305,2,8.5,16.4
0,74.2,191.5,58.0,3.7,1303,1,11.6,20.1
7,12.6,67.1,69.6,2.8,1311,3,1.4,7.6
4,60.6,55.1,72.1,4.1,1367,3,3.2,9.7
0,39.5,152.1,59.1,3.1,1265,1,10.4,18.5
0,76.0,141.0,60.8,3.9,1313,2,7.7,15.4
2,37.6,111.3,57.5,3.4,1400,0,5.1,12.4
5,69.6,92.3,74.9,4.3,1348,3,2.8,9.2
3,47.2,51.4,70.6,3.9,1212,3,4.3,10.0
11,12.6,56.0,69.5,2.9,1246,3,2.0,7.5
0,68.8,140.2,59.8,3.4,1267,1,13.5,22.2
10,44.6,91.2,57.5,3.8,1317,0,2.8,9.4
0,90.0,178.0,59.1,3.6,1357,1,14.9,23.8
4,27.2,101.3,57.6,3.3,1348,0,2.8,10.3
0,24.9,173.4,61.5,2.5,1323,2,10.0,19.7
0,15.4,263.5,58.9,1.8,1247,1,14.9,26.6
13,10.3,59.3,68.0,3.0,1206,3,0.2,5.5
0,35.4,142.3,65.3,3.0,1270,2,8.9,16.6
0,59.5,118.6,58.6,3.4,1339,2,11.1,18.5
5,39.5,53.0,68.4,3.8,1304,3,2.7,8.7
0,31.8,176.6,57.7,2.9,1308,0,8.8,18.0
0,35.0,161.2,61.5,2.9,1283,2,12.4,21.3
2,25.6,122.5,56.0,3.0,1293,0,5.0,12.2
3,86.4,77.4,62.5,4.4,1386,2,3.8,10.5
24,14.5,61.9,67.3,4.5,1291,3,-2.7,1.7
0,12.0,282.7,57.2,1.9,1281,1,11.3,22.8
11,72.3,57.4,80.9,4.9,1331,3,-0.2,5.6
0,78.2,153.9,61.2,3.5,1214,2,14.5,22.7
8,44.4,65.7,73.8,4.0,1204,3,1.9,8.2
3,34.2,120.2,68.2,3.4,1297,3,3.3,12.4
4,45.4,113.8,56.4,3.8,1365,0,3.9,10.7
0,116.8,134.1,61.7,4.0,1312,1,14.1,22.2
12,16.8,84.9,74.7,3.0,1315,3,1.3,8.0
11,13.0,57.6,64.0,3.0,1325,3,1.4,6.2
14,38.0,57.7,72.0,4.0,1390,3,0.4,6.9
1,162.4,68.3,65.5,5.1,1282,3,3.8,10.0
4,56.8,105.1,57.2,3.9,1329,0,4.5,11.2
3,71.2,21.1,66.2,4.3,1258,3,5.3,10.1
21,21.4,18.5,82.4,4.0,1284,3,-1.5,3.9
0,20.0,168.9,63.6,2.2,1293,2,11.2,21.6
7,81.2,43.8,76.6,4.5,1289,3,2.9,8.7
0,38.3,120.8,57.6,3.4,1362,0,5.7,12.9
17,49.0,100.3,69.1,4.3,1257,3,0.1,6.8
1,42.8,36.2,65.9,3.8,1304,3,4.8,10.2
0,27.6,240.0,59.1,2.4,1223,1,13.7,24.2
9,91.0,107.5,60.5,4.4,1218,2,2.7,10.5
0,5.1,209.2,60.4,0.7,1370,2,10.6,22.7
3,78.4,74.9,63.9,4.2,1366,2,5.4,11.8
1,27.8,161.4,56.3,2.9,1196,0,4.4,14.1
0,86.7,165.0,68.0,3.7,1362,2,13.2,21.3
0,99.6,135.8,56.4,4.3,1251,0,5.4,12.9
12,32.4,58.0,69.2,3.7,1335,3,1.4,7.7
0,42.2,122.1,63.2,3.0,1336,2,13.7,22.4
13,37.6,99.7,56.9,3.8,1301,0,0.7,8.1
0,32.6,198.7,59.6,2.6,1262,1,14.3,24.3
0,16.4,263.7,61.7,2.2,1363,1,13.2,25.1
20,41.3,46.9,67.0,4.6,1432,3,-1.8,4.1
3,44.9,166.0,61.2,3.4,1352,2,7.5,15.9
6,81.2,70.3,56.2,4.4,1352,0,3.0,9.8
0,36.0,176.3,58.1,3.1,1330,0,8.4,18.6
0,42.4,250.4,58.3,2.9,1311,1,13.0,23.2
11,26.6,87.0,65.8,3.2,1163,2,2.5,10.3
0,123.8,69.9,63.8,4.5,1245,2,7.6,13.2
0,15.4,190.0,60.1,1.9,1297,1,12.1,21.8
1,34.1,54.9,62.7,3.4,1327,2,5.1,11.5
12,39.9,105.5,71.4,4.0,1355,3,0.8,7.2
6,113.7,59.6,70.1,4.9,1321,3,2.2,8.9
0,78.5,210.6,56.3,3.8,1284,0,7.9,17.2
0,72.9,136.8,56.2,3.8,1253,0,7.5,15.6
0,60.8,150.9,58.2,3.4,1346,1,11.8,20.3
11,68.8,47.4,77.6,4.6,1246,3,0.7,6.7
4,40.2,94.2,73.0,3.7,1391,3,2.6,10.2
10,13.1,28.0,69.1,2.9,1365,3,2.0,7.3
3,59.5,122.7,56.2,4.0,1332,0,3.7,11.4
0,96.6,118.9,69.3,3.9,1330,2,11.2,19.0
0,54.2,167.2,57.4,3.5,1334,0,8.6,16.9
0,109.1,69.6,61.4,4.4,1268,2,7.8,14.1
0,22.0,142.0,61.8,2.5,1311,2,10.7,19.2
0,58.2,161.8,59.6,3.1,1373,1,15.6,25.6
9,52.3,59.6,71.4,4.1,1370,3,2.1,8.6
2,59.5,67.5,64.7,4.1,1245,2,4.3,9.4
6,53.5,53.0,63.5,3.9,1377,2,3.5,10.8
10,26.0,105.2,59.5,3.5,1348,0,1.1,8.1
0,35.2,241.4,64.3,2.8,1287,1,13.2,22.9
2,56.0,56.6,69.6,4.0,1422,3,5.1,10.5
0,83.6,178.2,58.7,3.6,1395,1,13.8,23.5
0,86.0,119.1,67.5,3.8,1247,2,11.8,20.2
9,57.7,78.0,62.1,4.1,1332,2,3.2,9.9
1,74.8,104.0,65.0,3.9,1368,2,8.3,15.2
0,24.5,164.0,57.5,2.4,1348,1,13.4,22.7
0,73.4,98.1,61.5,3.7,1322,2,11.0,18.6
1,21.6,72.1,83.6,3.0,1275,3,3.8,9.5
0,76.0,103.8,65.7,3.7,1211,2,11.0,17.6
3,43.3,39.8,63.2,3.8,1239,2,4.2,9.8
0,111.2,144.1,66.5,4.1,1250,2,10.6,19.5
5,63.6,41.2,67.5,4.2,1282,3,4.5,9.7
5,16.6,72.6,72.2,3.0,1346,3,1.9,8.6
15,51.8,51.3,68.1,4.7,1205,3,-0.3,4.5
0,78.0,161.6,59.7,3.7,1275,1,12.2,20.1
0,60.9,195.0,58.0,3.3,1297,1,12.4,21.8
0,6.8,190.3,67.4,0.7,1238,2,11.8,20.9
6,58.0,78.8,61.0,4.1,1389,2,3.2,10.1
16,11.9,71.6,66.4,2.7,1208,3,-0.1,7.1
5,46.4,48.2,86.6,4.0,1366,3,2.9,8.8
4,32.8,64.9,70.3,3.9,1299,3,1.2,6.7
2,25.9,102.7,58.1,3.0,1293,0,5.3,12.5
0,0.3,295.3,60.9,2.1,1311,1,15.6,27.0
0,71.1,57.6,69.3,4.3,1288,3,4.4,10.2
5,106.9,54.7,71.4,4.8,1407,3,3.1,8.8
0,115.2,159.9,58.9,4.0,1403,1,13.1,21.4
6,26.0,115.9,63.0,3.4,1399,3,1.8,8.7
0,23.6,266.4,60.7,2.2,1238,1,16.7,28.2
14,42.7,105.2,56.5,3.9,1312,0,1.4,8.5
0,17.1,166.7,62.4,1.9,1300,2,10.8,20.1
3,84.8,81.3,68.3,4.3,1300,2,4.6,11.4
0,16.4,176.9,57.0,2.6,1339,0,4.4,13.6
