Days of airfrost,Precipitation,Sunshine hours,Humidity (%),Wind Speed,Aircraft total movements,Weather and flight condition category,Runway surface minimal temperature,Runway surface maximal temperature
0,64.7,125.4,63.0,3.4,1359,2,12.0,20.9
0,127.7,145.4,59.1,4.3,1305,1,10.1,17.8
0,5.1,117.3,61.8,0.6,1329,2,9.9,18.2
2,63.4,140.3,57.4,3.8,1249,0,5.2,13.7
0,10.4,100.9,59.8,1.6,1358,2,8.1,15.7
0,25.4,166.6,57.3,2.5,1284,0,9.7,18.2
0,36.3,217.3,59.7,2.8,1352,1,14.1,24.1
0,55.7,267.1,59.1,3.1,1263,1,13.1,24.2
0,73.5,239.5,59.0,3.4,1269,1,13.8,23.5
2,92.3,38.0,80.8,4.5,1302,3,4.5,10.3
0,30.0,234.4,56.2,2.8,1309,0,8.2,19.0
0,21.9,221.4,57.2,2.4,1371,0,8.0,18.7
0,22.4,196.4,56.7,2.6,1223,0,7.5,17.0
0,47.6,245.5,61.2,3.0,1255,1,13.3,23.3
0,47.2,170.0,57.7,3.6,1273,0,4.9,13.5
0,1.6,98.4,66.1,0.2,1299,2,8.4,17.1
0,49.8,173.6,58.4,3.2,1258,1,12.6,21.7
0,79.4,146.7,58.3,3.6,1277,1,12.6,20.7
4,63.1,37.8,70.3,4.1,1394,3,3.5,10.3
3,44.3,40.7,70.5,3.8,1403,2,4.8,9.5
4,62.2,52.7,61.3,4.0,1287,2,6.0,11.2
0,43.9,224.2,59.0,3.0,1339,1,12.2,21.8
0,20.0,178.2,66.3,2.2,1340,2,11.5,20.3
0,84.6,178.8,56.5,3.8,1309,0,9.8,18.0
7,21.1,90.1,69.8,3.1,1349,3,2.8,8.8
10,64.3,40.1,63.0,4.5,1340,3,0.9,6.8
1,45.0,134.4,63.8,3.4,1252,2,6.8,15.0
5,33.7,93.4,56.4,3.4,1213,0,3.0,10.8
0,28.8,213.9,57.1,2.3,1333,1,14.7,24.2
0,75.3,126.9,57.2,3.9,1350,0,6.8,14.6
0,39.9,153.0,56.8,3.2,1268,0,6.7,15.8
11,52.8,62.3,58.6,4.3,1306,0,1.2,6.9
0,41.8,142.7,56.2,3.5,1359,0,4.7,12.7
3,16.9,199.5,56.4,2.4,1330,0,6.1,15.0
3,95.3,78.2,58.1,4.6,1407,0,3.8,9.5
8,76.8,35.6,73.6,4.6,1279,3,2.8,7.4
0,95.0,142.4,61.6,3.9,1417,2,10.7,19.2
3,10.2,67.8,70.8,2.3,1350,2,4.5,11.4
5,73.9,50.0,67.6,4.4,1290,3,4.6,9.0
11,51.6,56.4,68.1,4.2,1311,3,1.7,7.9
5,81.7,60.1,58.7,4.4,1287,2,3.5,9.9
0,37.8,98.4,64.5,3.2,1332,2,8.5,15.4
0,122.1,81.3,61.5,4.4,1334,2,8.6,14.7
5,71.7,32.4,72.9,4.4,1268,3,3.4,8.9
0,11.2,143.4,63.2,1.7,1323,2,11.4,20.6
11,105.6,62.8,84.9,5.0,1288,3,1.0,7.2
0,22.4,284.5,59.7,2.3,1284,1,10.7,23.6
1,32.4,129.9,59.6,3.3,1420,0,4.9,12.9
0,69.9,132.9,57.7,3.6,1264,1,10.6,18.6
0,53.0,181.3,58.0,3.2,1358,1,12.3,21.3
0,37.6,140.3,58.2,3.0,1235,1,11.1,19.0
0,23.2,293.7,63.5,2.3,1278,1,10.4,21.8
0,62.3,158.6,57.1,3.4,1198,1,14.2,22.5
0,18.4,140.4,60.4,2.4,1310,2,10.1,18.1
7,32.2,50.0,66.3,3.6,1233,2,4.0,9.1
0,65.8,151.1,57.1,3.8,1254,0,5.9,14.6
1,61.0,137.0,65.2,3.6,1199,2,8.5,16.5
0,84.0,173.5,59.2,3.7,1252,1,11.0,20.7
4,59.5,88.1,57.0,4.1,1296,0,3.7,10.7
0,86.3,109.7,62.4,3.9,1298,2,10.8,17.8
0,27.7,146.6,64.5,2.6,1288,2,12.0,20.1
1,52.8,175.0,56.5,3.7,1281,0,5.1,13.3
0,88.2,159.6,58.2,3.7,1288,1,13.3,22.5
0,66.4,192.2,57.7,3.6,1302,0,9.4,17.3
0,54.4,164.2,56.0,3.3,1305,0,10.6,19.6
0,88.6,110.9,59.1,3.7,1199,1,13.2,21.6
5,48.2,58.1,63.2,3.8,1255,2,3.5,10.8
0,36.1,237.0,60.9,2.7,1242,1,11.3,21.3
0,88.4,152.0,62.6,3.9,1275,2,9.6,17.8
8,71.9,64.0,71.0,4.4,1320,3,3.1,8.8
10,20.8,101.2,78.1,3.1,1302,3,1.8,8.4
0,35.5,258.5,58.9,2.6,1298,1,11.4,22.1
0,38.6,98.9,60.8,3.4,1374,2,6.1,13.9
0,77.3,176.1,59.3,3.6,1334,1,13.2,21.8
2,58.1,140.5,56.8,3.8,1298,0,3.9,12.5
0,12.4,205.7,61.5,1.5,1191,1,11.1,22.0
0,57.2,172.3,62.7,3.2,1260,1,12.5,21.8
0,70.1,273.3,58.2,3.4,1196,1,12.7,23.6
7,52.5,55.6,61.9,4.0,1403,2,3.5,9.9
1,44.1,138.2,57.9,3.6,1321,0,4.4,12.5
2,2.4,51.0,76.5,1.0,1294,3,2.5,7.2
0,64.4,106.3,67.3,3.5,1267,2,11.2,17.8
0,29.6,157.9,58.3,3.0,1255,0,7.1,15.0
0,58.9,187.3,60.6,3.4,1331,1,11.9,20.3
6,70.5,42.5,65.1,4.5,1303,3,2.8,7.8
0,7.6,221.1,61.2,1.3,1304,1,15.5,27.2
1,73.4,27.0,83.4,4.4,1277,3,4.4,9.3
0,42.8,248.6,60.2,3.0,1341,1,12.1,22.1
0,76.8,172.5,57.1,3.5,1274,1,13.7,22.8
3,33.8,88.3,62.9,3.4,1388,2,4.4,11.3
0,2.0,308.6,57.1,0.0,1334,0,9.1,21.1
2,56.6,100.0,56.3,3.8,1332,0,4.5,12.9
9,31.4,75.9,59.1,3.6,1295,0,2.1,8.6
0,54.6,184.7,57.4,3.3,1259,1,11.0,19.7
0,12.2,197.0,60.2,1.2,1360,1,11.4,22.2
0,56.3,110.0,65.9,3.6,1336,2,8.5,15.5
12,36.4,66.1,75.5,3.9,1302,3,2.1,7.3
0,49.8,157.0,61.6,3.2,1320,2,11.4,20.3
0,12.4,220.1,57.8,1.5,1280,1,12.1,23.5
4,47.6,50.3,66.3,3.9,1300,3,4.7,10.1
0,39.4,84.7,58.2,3.2,1258,2,9.3,16.3
0,13.3,226.0,60.9,1.7,1302,1,15.0,25.9
6,23.8,107.0,66.2,3.1,1282,2,3.7,10.9
1,58.0,46.5,67.9,4.1,1362,3,3.8,9.7
0,71.9,204.8,56.9,3.7,1274,0,7.6,18.0
0,53.6,184.3,58.3,3.1,1344,1,13.0,22.3
0,35.8,184.9,57.2,3.0,1346,0,10.2,19.1
4,20.3,207.6,57.0,2.7,1289,0,3.9,13.6
1,90.8,56.8,56.1,4.4,1354,0,6.5,11.8
0,54.4,234.3,57.5,2.9,1374,1,15.9,27.0
10,59.0,68.2,73.5,4.2,1455,3,2.5,9.0
0,96.3,104.5,61.1,4.0,1416,2,9.8,17.5
0,26.2,180.0,61.7,2.5,1315,1,12.1,22.1
0,131.4,125.6,61.1,4.2,1350,2,11.6,18.8
0,73.4,89.9,63.1,3.7,1257,2,11.3,17.8
0,71.4,155.8,58.7,3.4,1327,1,13.7,23.0
9,33.2,56.4,78.2,3.8,1293,3,2.0,7.6
7,48.6,89.5,71.8,4.0,1299,3,2.6,9.3
0,48.2,182.1,60.4,3.1,1307,1,14.5,24.5
12,12.0,60.7,73.4,2.6,1258,3,1.7,8.3
0,4.1,287.0,57.1,0.1,1310,0,9.0,20.5
1,98.4,141.7,57.1,4.3,1353,0,4.9,13.3
2,60.6,40.3,70.8,4.0,1348,3,5.2,10.7
3,72.8,123.3,57.0,4.2,1369,0,3.2,10.7
0,44.8,138.6,56.2,3.5,1378,0,4.8,13.4
0,39.1,205.5,59.7,3.1,1336,0,9.0,18.2
0,17.2,225.8,57.6,2.3,1325,1,11.4,21.8
0,124.8,199.8,59.2,4.1,1303,1,14.0,22.8
0,52.4,134.8,58.3,3.4,1308,1,9.6,17.4
0,25.1,219.2,57.1,2.5,1319,0,9.2,19.2
6,62.5,36.3,70.8,4.2,1269,3,2.2,9.3
3,59.4,112.6,60.5,3.8,1297,2,5.3,12.5
7,42.4,104.7,57.0,3.9,1301,0,2.3,9.1
13,40.9,41.3,74.9,4.2,1384,3,0.7,6.2
6,10.4,138.1,57.7,2.3,1289,0,2.2,11.5
11,30.0,88.6,64.0,3.6,1329,2,1.2,8.1
0,10.4,255.3,59.6,1.4,1314,1,15.7,26.4
3,29.5,153.2,57.1,3.2,1161,0,3.8,12.3
0,26.0,241.7,59.5,2.4,1282,1,14.4,24.1
0,98.6,88.7,56.4,4.4,1317,0,5.4,12.2
0,22.1,70.0,66.6,3.0,1338,2,5.1,10.7
0,68.7,229.2,58.6,3.3,1250,1,13.9,23.9
0,47.6,158.8,58.0,3.1,1224,1,12.6,21.7
5,43.8,86.8,73.0,3.8,1294,3,2.9,9.4
4,41.7,59.3,62.0,3.9,1308,2,2.9,8.8
6,26.0,59.2,70.3,3.3,1271,3,3.1,9.5
0,21.7,182.5,60.2,2.2,1354,1,13.4,22.5
0,24.0,212.2,63.1,2.3,1240,1,11.9,23.2
15,45.0,70.5,67.5,4.5,1391,3,-0.9,4.9
1,71.8,75.4,65.6,4.2,1288,2,4.6,11.0
0,11.1,213.7,62.3,1.7,1288,2,10.6,21.1
0,10.8,134.6,63.3,1.6,1387,2,12.8,21.5
0,2.4,218.0,56.8,0.2,1315,0,8.6,19.7
8,43.5,124.4,57.9,3.8,1241,0,1.8,10.1
0,80.8,170.8,56.5,3.9,1257,0,7.0,15.4
0,48.3,193.4,57.6,3.2,1332,1,11.3,20.8
0,10.4,210.4,59.1,1.7,1348,1,12.7,22.4
1,16.4,167.2,58.3,2.4,1354,0,5.7,16.1
0,49.0,120.9,63.7,3.3,1309,2,10.1,18.0
0,39.1,248.0,57.7,3.0,1421,1,11.3,20.8
0,23.2,111.6,65.3,2.6,1312,2,7.0,14.4
0,83.8,134.8,62.7,3.7,1269,2,12.1,20.0
2,51.3,88.4,58.9,3.9,1299,2,4.6,10.4
1,75.7,30.2,88.8,4.4,1328,3,3.0,9.3
0,51.9,190.5,58.9,3.2,1250,1,12.9,21.7
0,88.4,85.6,63.4,4.1,1254,2,8.0,14.2
0,68.8,155.0,57.1,3.8,1293,0,6.3,14.9
0,98.2,239.1,57.9,3.9,1299,1,11.0,20.3
2,57.8,67.2,73.4,4.2,1371,3,3.0,9.2
7,72.4,36.5,77.8,4.4,1337,3,3.5,8.5
0,0.4,234.5,59.4,0.9,1338,1,13.1,24.2
0,35.2,171.2,58.1,2.7,1327,1,13.4,23.8
0,47.5,143.9,69.5,3.1,1247,2,12.7,21.4
0,94.6,151.1,59.8,3.8,1268,2,11.3,20.3
0,38.4,220.5,57.7,3.1,1333,0,6.1,15.7
0,60.4,192.7,57.6,3.5,1214,0,9.7,19.0
22,52.8,64.1,98.5,4.7,1254,3,-1.1,5.0
0,78.6,151.6,59.9,3.7,1342,1,12.2,20.2
0,20.3,247.1,61.7,2.2,1314,1,15.2,26.3
0,22.8,157.5,68.7,2.5,1269,2,8.1,17.4
0,53.4,138.6,57.9,3.2,1282,1,11.7,19.8
0,76.5,110.3,63.7,4.1,1289,2,5.8,12.9
0,45.8,202.5,58.8,3.0,1262,1,14.1,23.3
4,14.6,126.4,56.8,2.5,1318,0,3.8,12.3
7,16.8,59.2,74.8,3.1,1275,3,2.0,7.6
0,61.2,171.1,61.0,3.2,1292,1,14.9,24.2
0,18.8,182.7,64.5,2.3,1330,2,12.5,20.8
1,151.2,59.8,62.1,4.9,1294,2,5.5,11.9
0,45.8,217.6,60.0,2.9,1315,1,13.4,23.1
0,14.8,272.5,63.4,2.0,1359,1,16.4,28.3
0,142.8,42.7,60.4,4.9,1280,2,5.0,10.6
0,19.8,228.3,57.5,2.3,1219,0,8.5,17.7
0,58.4,248.3,56.8,3.3,1297,0,9.8,20.8
1,35.7,172.9,56.9,3.4,1309,0,3.7,11.6
2,100.4,48.6,72.0,4.4,1330,3,6.0,12.2
0,11.4,151.0,56.6,2.0,1295,0,5.3,13.8
4,63.0,60.6,73.2,4.1,1364,3,3.8,9.9
5,74.8,54.8,69.9,4.4,1297,3,3.0,9.5
0,28.4,188.6,60.2,2.6,1320,1,14.6,24.5
0,69.8,75.4,61.4,4.1,1242,2,6.4,12.2
3,30.0,198.0,56.9,3.0,1374,0,6.3,15.7
5,92.9,59.3,71.4,4.5,1328,3,3.9,9.9
1,38.2,235.4,56.7,3.1,1265,0,6.5,18.2
0,43.7,183.0,66.6,3.0,1345,2,11.5,21.4
4,58.9,108.5,57.8,4.0,1338,0,3.5,11.3
14,43.0,72.8,69.6,4.2,1347,3,1.0,6.6
0,32.2,180.9,63.6,2.6,1363,1,13.8,23.0
0,47.4,182.9,57.8,3.1,1219,1,12.7,21.5
0,66.1,73.1,61.3,4.0,1252,2,5.2,12.1
